"From","To","Length","Capacity","Cost"
"Oklahoma city","Little rock",539,2,350350
"shreveport","Little rock",332,2,215800
"San Jose","Los Angelos",545,3,354250
"Indianapolis","Louisville",180,3,117000
"Nashville","Louisville",279,8,181350
"Amarilho","lubbock",190,7,123500
"Dallas","lubbock",518,7,336700
"Augusta","Macon",195,1,126750
"Waycross","Macon",251,6,163150
"Worcester","Manchester",95,2,61750
"Little rock","Memphis",217,3,141050
"Nashville","Memphis",333,4,216450
"St Louis","Memphis",454,3,295100
"Minneapolis","Milwaukee",540,7,351000
"Atlanta","Montgomery",257,2,167050
"Birminghan","Montgomery",145,2,94250
"Mobile","Montgomery",270,2,175500
"Birminghan","Nashville",306,8,198900
"St Louis","Nashville",492,9,319800
"Houston","New orleans",558,6,362700
"Mobile","New orleans",229,7,148850
"Amarilho","Oklahoma city",412,9,267800
"Denver","Omaha",863,6,560950
"Des Moines","Omaha",210,6,136500
"Kansas city","Omaha",294,4,191100
"clearwater","Orlando",169,3,109850
"Gainesville","Orlando",177,3,115050
"Jupiter","Orlando",243,2,157950
"Springfield","Peoria",110,2,71500
"Allentown","Philadelphia",82,7,53300
"Washington","Philadelphia",214,8,139100
"Washington","Pittsburgh",381,2,247650
"Eugene","Portland",175,2,113750
"Seattle","Portland",280,3,182000
"Boston","Providence",70,4,45500
"Hartford","Providence",112,5,72800
"Worcester","Providence",62,2,40300
"Columbia","Raleigh",347,2,225550
"Richmond","Raleigh",244,6,158600
"Savannah","Raleigh",514,5,334100
"Washington","Richmond",170,5,110500
"Schenectady","Rutland",140,7,91000
"Eugene","Sacramento",758,2,492700
"Modesto","Sacramento",119,3,77350
"Salt lake city","Sacramento",1043,8,677950
"Boise","Salt lake city",543,5,352950
"lubbock","San Antonio",652,2,423800
"Los Angelos","San Diego",193,4,125450
"Tucson","San Diego",654,7,425100
"Sacramento","San Francisco",138,4,89700
"Modesto","San Jose",120,1,78000
"San Francisco","San Jose",74,3,48100
"Augusta","Savannah",200,2,130000
"Jacksonville","Savannah",219,4,142350
"Waycross","Savannah",166,2,107900
"Syracuse","Schenectady",195,10,126750
"Pittsburgh","Scranton",446,13,289900
"Spokane","Seattle",449,4,291850
"Dallas","shreveport",300,5,195000
"Jackson","shreveport",347,4,225550
"Fargo","Sioux Falls",389,3,252850
"Omaha","Sioux Falls",291,4,189150
"Chicago","South bend",140,12,91000
"Grand rapids","South bend",173,3,112450
"Oklahoma city","St Louis",800,10,520000
"Springfield","St Louis",157,3,102050
"New York","Stamford",59,2,38350
"Gainesville","tallahassee",230,4,149500
"Jacksonville","tallahassee",263,1,170950
"Mobile","tallahassee",389,7,252850
"Albuquerque","Tempe",706,4,458900
"Las vegas","Tempe",472,3,306800
"Tucson","Tempe",174,2,113100
"Detroit","Toledo",90,3,58500
"South bend","Toledo",234,11,152100
"El Paso","Tucson",508,9,330200
"San Antonio","Waco",290,2,188500
"Jacksonville","Waycross",124,5,80600
"tallahassee","Waycross",212,3,137800
"Boston","Westbrook",166,2,107900
"Manchester","Westbrook",139,1,90350
"Denver","Wichita",818,8,531700
"Oklahoma city","Wichita",259,2,168350
"Boston","Worcester",64,2,41600
"chicopee","Worcester",80,3,52000
"Rutland","Worcester",206,5,133900
"Cincinnati","wytheville",541,2,351650
"Richmond","wytheville",386,2,250900
"Washington","wytheville",473,4,307450
"Rutland","Westbrook",209.731099442758,2,1


